id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
29798872,224190427,Manhattan,Upper West Side,40.80183,-73.96542,Private room,1,14,2.02,1,12,68
16172498,102383709,Manhattan,Harlem,40.83069,-73.94779,Private room,4,131,4.17,2,115,58
4671824,190409,Bronx,Highbridge,40.83212,-73.93054000000001,Private room,1,56,1.09,3,355,60
1755484,9232106,Manhattan,Upper East Side,40.77648,-73.96126,Entire home/apt,4,10,0.17,1,348,225
8642982,13440686,Brooklyn,Bedford-Stuyvesant,40.68233,-73.91001,Private room,1,87,1.9,1,0,45
28867326,65827591,Queens,Maspeth,40.73661,-73.90021,Private room,2,6,0.65,3,259,31
7769782,40867860,Brooklyn,Bedford-Stuyvesant,40.68053,-73.90879,Private room,1,4,2.18,1,240,63
34780437,222252623,Brooklyn,Bedford-Stuyvesant,40.69418,-73.94409,Private room,2,2,1.28,3,0,68
17716225,84548731,Brooklyn,Prospect-Lefferts Gardens,40.65531,-73.96161,Private room,4,6,0.22,1,6,50
23781939,22866437,Manhattan,Upper West Side,40.77907,-73.97887,Entire home/apt,2,2,0.13,2,0,300
30937756,219517861,Manhattan,Murray Hill,40.74871,-73.97446,Entire home/apt,2,5,1.21,327,83,265
31268431,233755743,Queens,Elmhurst,40.735040000000005,-73.87406999999999,Private room,2,8,1.54,2,125,80
26844905,201885926,Manhattan,East Village,40.732690000000005,-73.98833,Private room,2,48,4.17,1,0,111
17774810,29546670,Queens,Ridgewood,40.70336,-73.90991,Private room,1,41,2.18,1,5,55
32466398,219517861,Manhattan,Murray Hill,40.74864,-73.97407,Entire home/apt,29,1,0.48,327,220,169
4129487,18397763,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93077,Private room,2,21,0.36,7,58,67
34209348,98297464,Brooklyn,Fort Hamilton,40.62065,-74.02929,Private room,5,2,1.71,2,55,68
24609530,185981519,Manhattan,East Village,40.72189,-73.98219,Entire home/apt,1,44,3.0,1,299,260
12250653,20043119,Brooklyn,Clinton Hill,40.6881,-73.96281,Private room,1,3,0.1,1,0,50
28250130,3768359,Manhattan,Lower East Side,40.72177,-73.98898,Entire home/apt,3,7,0.71,1,12,300
26741585,62587696,Brooklyn,Gowanus,40.670770000000005,-73.98969,Private room,2,53,5.26,2,13,52
